inf_mean,inf_upper,inf_lower,daily_cases,mobility_mean,mask_use_mean
54219.96,73605.66,40685.85,19420,-15.5067,0.8767
53645.37,73743.44,40037.01,16883,-15.429,0.8767
52964.03,71978.9,39222.93,18545,-15.3514,0.8767
52239.73,70157.25,38391.37,18094,-14.9473,0.8767
51478.25,69438.9,37556.75,15836,-14.5432,0.8767
50621.86,68623.68,36810.78,15283,-14.139,0.8767
49691.33,67648.45,36030.56,13623,-13.7349,0.8767
48704.29,66795.35,35199.06,26032,-13.3308,0.8767
47664.75,66310.09,34350.9,20312,-12.9266,0.8767
46583.61,65685.22,33480.57,18593,-12.5225,0.8767
45479.12,64945.85,32523.44,18597,-12.1183,0.8767
44349.22,64095.61,31570.7,16857,-11.7142,0.8767
43182.37,63382.41,30540.82,14228,-11.3101,0.8767
41988.17,62788.72,29427.59,13544,-10.9059,0.8767
40780.54,62067.5,28336.59,24080,-10.5018,0.8767
39561.79,60728.49,27268.22,19159,-10.0977,0.8767
